mean,m_sd,no_lost_events,l_sd,no_events_expected,trace_size,t_sd,output,overflow,num_subbuf,total_buf_size,no_thread,sample_size,delay,no_repetitions
200935.00,45.36,0,0,262148,5464,0,splice,discard,16,256,2,131072,75989,8
2739.21,13.81,177185,7794,262148,1776,161,splice,discard,16,512,2,131072,704,8
20848.12,12.96,73480,1222,262148,3918,26,splice,discard,16,512,2,131072,7548,8
200910.00,42.09,0,0,262148,5432,0,splice,discard,16,512,2,131072,75989,8
2778.28,5.29,137422,1501,262148,2592,32,splice,discard,16,1024,2,131072,704,8
20917.25,9.00,0,0,262148,5416,1,splice,discard,16,1024,2,131072,7548,8
200926.25,51.53,0,0,262148,5416,0,splice,discard,16,1024,2,131072,75989,8
2715.82,9.01,209650,1193,262148,1124,26,splice,discard,32,256,2,131072,704,8
20795.12,14.16,147781,1014,262148,2423,22,splice,discard,32,256,2,131072,7548,8
200948.75,51.94,0,0,262148,5520,0,splice,discard,32,256,2,131072,75989,8
2756.53,9.47,164873,2450,262148,2044,52,splice,discard,32,512,2,131072,704,8
20862.88,16.26,66133,3676,262148,4090,77,splice,discard,32,512,2,131072,7548,8
200931.25,46.43,0,0,262148,5464,0,splice,discard,32,512,2,131072,75989,8
2781.21,10.20,136860,3243,262148,2612,67,splice,discard,32,1024,2,131072,704,8
20930.12,15.20,0,0,262148,5432,0,splice,discard,32,1024,2,131072,7548,8
200895.00,44.08,0,0,262148,5432,0,splice,discard,32,1024,2,131072,75989,8
2725.94,5.64,197791,2336,262148,1372,49,splice,discard,64,512,2,131072,704,8
20931.12,34.63,32129,2084,262148,4844,43,splice,discard,64,512,2,131072,7548,8
200917.50,81.02,0,0,262148,5520,0,splice,discard,64,512,2,131072,75989,8
2773.80,26.99,149045,22493,262148,2372,467,splice,discard,64,1024,2,131072,704,8
20943.88,18.13,0,0,262148,5464,0,splice,discard,64,1024,2,131072,7548,8
200931.25,49.12,0,0,262148,5464,0,splice,discard,64,1024,2,131072,75989,8
2753.62,7.19,172012,1647,262148,1911,34,splice,discard,128,1024,2,131072,704,8
20988.12,37.71,0,0,262148,5520,0,splice,discard,128,1024,2,131072,7548,8
200923.75,67.39,0,0,262148,5520,0,splice,discard,128,1024,2,131072,75989,8
2648.12,3.33,260632,0,262152,48,0,splice,discard,2,32,4,131072,704,8
20636.00,7.05,255904,267,262152,147,6,splice,discard,2,32,4,131072,7548,8
200470.00,44.40,210216,344,262152,1105,7,splice,discard,2,32,4,131072,75989,8
2646.25,3.72,259064,0,262152,80,0,splice,discard,2,64,4,131072,704,8
20644.12,5.84,249583,293,262152,276,6,splice,discard,2,64,4,131072,7548,8
200538.75,32.27,158177,80,262152,2174,3,splice,discard,2,64,4,131072,75989,8
2651.00,5.46,255944,0,262152,144,0,splice,discard,2,128,4,131072,704,8
20658.62,4.57,237296,0,262152,528,0,splice,discard,2,128,4,131072,7548,8
200621.25,45.18,57858,1131,262152,4234,23,splice,discard,2,128,4,131072,75989,8
2656.97,7.30,249704,0,262152,272,0,splice,discard,2,256,4,131072,704,8
20685.25,3.77,212336,0,262152,1040,0,splice,discard,2,256,4,131072,7548,8
200665.00,34.64,6270,607,262152,5286,14,splice,discard,2,256,4,131072,75989,8
2669.21,4.01,237224,0,262152,528,0,splice,discard,2,512,4,131072,704,8
20738.88,3.91,162416,0,262152,2064,0,splice,discard,2,512,4,131072,7548,8
200641.25,42.91,0,0,262152,5408,0,splice,discard,2,512,4,131072,75989,8
2695.76,4.02,212256,0,262152,1040,0,splice,discard,2,1024,4,131072,704,8
20830.75,9.79,84377,8822,262152,3664,181,splice,discard,2,1024,4,131072,7548,8
200607.50,54.97,0,0,262152,5408,0,splice,discard,2,1024,4,131072,75989,8
2651.05,4.57,259103,3,262152,80,0,splice,discard,4,64,4,131072,704,8
20660.75,3.69,247466,470,262152,324,10,splice,discard,4,64,4,131072,7548,8
200601.25,48.53,159212,378,262152,2182,9,splice,discard,4,64,4,131072,75989,8
2653.30,8.29,255976,0,262152,144,0,splice,discard,4,128,4,131072,704,8
20670.25,3.92,237328,273,262152,530,6,splice,discard,4,128,4,131072,7548,8
200767.50,23.75,57536,555,262152,4260,12,splice,discard,4,128,4,131072,75989,8
2655.53,6.72,249736,0,262152,272,0,splice,discard,4,256,4,131072,704,8
20693.25,3.28,212464,0,262152,1040,0,splice,discard,4,256,4,131072,7548,8
200712.50,29.64,0,0,262152,5424,0,splice,discard,4,256,4,131072,75989,8
2667.47,4.31,237256,0,262152,528,0,splice,discard,4,512,4,131072,704,8
20750.38,4.75,160793,1543,262152,2100,32,splice,discard,4,512,4,131072,7548,8
200696.25,30.21,0,0,262152,5416,0,splice,discard,4,512,4,131072,75989,8
2694.96,4.96,212288,0,262152,1040,0,splice,discard,4,1024,4,131072,704,8
20862.25,3.65,62672,0,262152,4112,0,splice,discard,4,1024,4,131072,7548,8
200636.25,42.74,0,0,262152,5408,0,splice,discard,4,1024,4,131072,75989,8
2653.62,3.83,256048,0,262152,144,0,splice,discard,8,128,4,131072,704,8
20708.50,7.03,229709,473,262152,696,10,splice,discard,8,128,4,131072,7548,8
200918.75,45.49,59488,455,262152,4268,10,splice,discard,8,128,4,131072,75989,8
2655.18,5.04,249800,0,262152,272,0,splice,discard,8,256,4,131072,704,8
20728.00,5.55,206640,1911,262152,1166,40,splice,discard,8,256,4,131072,7548,8
200850.00,41.06,0,0,262152,5456,0,splice,discard,8,256,4,131072,75989,8
2667.39,4.45,237320,0,262152,528,0,splice,discard,8,512,4,131072,704,8
20777.12,7.38,157853,1987,262152,2166,41,splice,discard,8,512,4,131072,7548,8
200735.00,43.75,0,0,262152,5424,0,splice,discard,8,512,4,131072,75989,8
2694.01,5.39,212360,0,262152,1040,0,splice,discard,8,1024,4,131072,704,8
20877.62,5.68,62968,0,262152,4112,0,splice,discard,8,1024,4,131072,7548,8
200681.25,38.71,0,0,262152,5416,0,splice,discard,8,1024,4,131072,75989,8
2658.96,4.01,249936,0,262152,272,0,splice,discard,16,256,4,131072,704,8
20823.75,6.90,188833,1323,262152,1552,28,splice,discard,16,256,4,131072,7548,8
201116.25,41.38,0,0,262152,5520,0,splice,discard,16,256,4,131072,75989,8
2670.34,5.55,237447,3,262152,528,0,splice,discard,16,512,4,131072,704,8
20843.62,7.44,144639,1473,262152,2451,31,splice,discard,16,512,4,131072,7548,8
200855.00,46.60,0,0,262152,5456,0,splice,discard,16,512,4,131072,75989,8
